#    x_shift     y_shift   expansion         E_unrelaxed           E_relaxed
      0.0625       0.625         0.0       -448.70145012       -477.24067117
      0.0625       0.625         0.5       -456.78732924       -477.21168748
      0.0625       0.625         1.0        -459.1009348       -474.72171689
      0.0625       0.625         1.5       -458.24818634       -470.73446579
      0.0625       0.625         2.0        -455.9404336       -467.11631929
      0.0625      0.6875        -1.0       -419.07093987         -466.692728
      0.0625      0.6875        -0.5       -450.44782993       -473.95994937
      0.0625      0.6875         0.0       -464.03268378       -477.43973956
      0.0625      0.6875         0.5       -467.57360806       -477.61103906
      0.0625      0.6875         1.0        -466.6040981       -475.31303452
      0.0625      0.6875         1.5       -463.90293103       -471.84203974
      0.0625      0.6875         2.0       -459.96778651       -468.33221665
      0.0625        0.75        -1.0        -397.4802214       -463.84319078
      0.0625        0.75        -0.5       -440.21393714       -472.42278966
      0.0625        0.75         0.0       -461.08389589       -476.16948061
      0.0625        0.75         0.5       -467.69642508       -476.61077953
      0.0625        0.75         1.0       -467.44074125       -475.50056946
      0.0625        0.75         1.5       -464.66991624       -472.75153389
      0.0625        0.75         2.0       -460.64776901       -468.30424165
      0.0625      0.8125        -1.0       -367.53364804       -459.91972996
      0.0625      0.8125        -0.5       -418.75134722       -469.28969779
      0.0625      0.8125         0.0       -445.89834319       -474.27480993
      0.0625      0.8125         0.5       -457.47121726       -476.42222001
      0.0625      0.8125         1.0       -460.42072035       -475.33333962
      0.0625      0.8125         1.5       -459.28468144       -472.03156946
      0.0625      0.8125         2.0        -456.7791941       -468.71669415
      0.0625       0.875        -1.0       -367.52673241       -462.49980019
      0.0625       0.875        -0.5       -407.13883469       -469.92808081
      0.0625       0.875         0.0        -432.7840333       -473.79654155
      0.0625       0.875         0.5       -447.85867646       -475.93377135
      0.0625       0.875         1.0       -454.40614335       -474.78790167
      0.0625       0.875         1.5       -455.35281583       -471.32042223
      0.0625       0.875         2.0       -454.10942333       -468.17404824
      0.0625      0.9375        -1.0       -390.56973422       -466.15607209
      0.0625      0.9375        -0.5        -421.9216043       -473.21344278
      0.0625      0.9375         0.0       -441.63151718        -476.4307217
      0.0625      0.9375         0.5       -452.54312463       -476.42272844
      0.0625      0.9375         1.0        -456.6892632       -474.46711844
      0.0625      0.9375         1.5       -456.68425448        -470.9036347
      0.0625      0.9375         2.0       -454.92167165       -468.21226677
      0.0625         1.0        -1.0       -418.02962964       -467.32826734
      0.0625         1.0        -0.5       -447.57376635       -474.35342053
      0.0625         1.0         0.0       -460.89206085       -477.98460822
      0.0625         1.0         0.5       -464.89283557       -477.84947458
      0.0625         1.0         1.0       -464.45393773       -475.25383955
      0.0625         1.0         1.5       -462.16304694       -471.40315868
      0.0625         1.0         2.0       -458.67510577       -467.23157535
       0.125         0.0        -1.0       -419.27253616       -467.35445675
       0.125         0.0        -0.5       -448.30263382       -474.73323855
       0.125         0.0         0.0       -461.34968734       -477.91960641
       0.125         0.0         0.5       -465.17926733       -477.77641026
       0.125         0.0         1.0       -464.59723843       -475.19176966
       0.125         0.0         1.5       -462.19175711       -471.89141274
       0.125         0.0         2.0       -458.63200438       -468.42362396
       0.125      0.0625        -1.0       -405.32352198       -465.32718993
       0.125      0.0625        -0.5       -444.73989201       -473.12584295
       0.125      0.0625         0.0       -463.35338602       -476.91221402
       0.125      0.0625         0.5       -468.86077886        -477.3216099
       0.125      0.0625         1.0       -468.16793225       -474.92224156
       0.125      0.0625         1.5       -465.17887198        -472.2504251
