#    x_shift     y_shift   expansion         E_unrelaxed  E_relaxed (ignore)
      0.6875      0.8125         0.0       -371.28507257       -460.16847203
      0.6875       0.875         0.0       -360.59027916       -462.34040432
      0.6875      0.9375         0.0       -394.37221179       -466.24075746
      0.6875         1.0         0.0        -420.5161081       -467.23885587

        0.75         0.0         0.0       -417.51461584        -467.3042763
        0.75      0.0625         0.0       -407.10870874       -464.96082531
        0.75       0.125         0.0       -372.46451814       -461.17817508
        0.75      0.1875         0.0       -364.48163263       -461.22801427
        0.75        0.25         0.0        -373.2180317       -465.14130722
        0.75      0.3125         0.0       -410.48401131       -467.23832679
        0.75       0.375         0.0        -415.3398695       -466.14547503
        0.75      0.4375         0.0       -383.25766828        -462.5264761
        0.75         0.5         0.0       -363.87348799       -459.48415977
        0.75      0.5625         0.0        -367.5438593        -464.0207721
        0.75       0.625         0.0       -398.71614723        -466.9064105
        0.75      0.6875         0.0       -419.07097594       -466.24246456
        0.75        0.75         0.0       -395.72574574       -464.20564391
        0.75      0.8125         0.0       -365.87685857       -459.55115642
        0.75       0.875         0.0       -365.64791809        -462.4893229
        0.75      0.9375         0.0       -384.71757492       -466.17766005
        0.75         1.0         0.0       -417.51461584        -467.3042763

      0.8125         0.0         0.0       -420.51617141       -467.18953714
      0.8125      0.0625         0.0       -405.32347525       -465.32552145
      0.8125       0.125         0.0       -375.20939919       -461.70806715
      0.8125      0.1875         0.0       -358.64260904       -461.87022114
      0.8125        0.25         0.0       -364.96484143       -465.16863505
      0.8125      0.3125         0.0       -414.45213923       -467.25129414
      0.8125       0.375         0.0       -414.85938333        -466.0125259
      0.8125      0.4375         0.0       -383.25763213       -462.60737929
      0.8125         0.5         0.0       -364.95088085       -460.44925068
      0.8125      0.5625         0.0        -351.4891236       -463.71244945
      0.8125       0.625         0.0       -402.23814874       -466.91209388
      0.8125      0.6875         0.0       -420.40999467       -466.87458348
      0.8125        0.75         0.0       -393.94719156       -463.86790919
      0.8125      0.8125         0.0       -369.77456508       -460.68655705
      0.8125       0.875         0.0       -351.69902444       -461.96098435
      0.8125      0.9375         0.0       -384.71759706       -466.19536939
      0.8125         1.0         0.0       -420.51617141       -467.24168782

       0.875         0.0         0.0       -419.27244589       -467.34630066
       0.875      0.0625         0.0       -407.84383908       -465.03987468
       0.875       0.125         0.0         -377.852654        -460.7094536
       0.875      0.1875         0.0       -363.00932149        -461.0897628
       0.875        0.25         0.0       -382.78075675       -465.30037251
       0.875      0.3125         0.0        -414.4520836       -467.25536253
       0.875       0.375         0.0       -415.33981243       -466.40531246
       0.875      0.4375         0.0       -387.75620426       -462.37922553
       0.875         0.5         0.0       -364.59876388       -460.49711019
       0.875      0.5625         0.0       -372.63987059       -464.02293907
       0.875       0.625         0.0       -405.61623162       -466.84039414
       0.875      0.6875         0.0       -419.46561266       -467.00455354
       0.875        0.75         0.0       -398.19861072       -463.86172794
       0.875      0.8125         0.0       -369.77458186       -459.95787962
       0.875       0.875         0.0       -365.64791951        -462.4749559
       0.875      0.9375         0.0       -394.37221615       -466.22074221
       0.875         1.0         0.0       -419.27244589       -467.34024053

      0.9375         0.0         0.0       -418.02969972       -467.34784518
      0.9375      0.0625         0.0        -406.0658341       -465.16651724
      0.9375       0.125         0.0       -371.29747325       -460.94461622
      0.9375      0.1875         0.0       -363.00933362       -461.67065147
      0.9375        0.25         0.0       -364.96485133       -465.16863505
      0.9375      0.3125         0.0       -410.48405057       -467.25168827
      0.9375       0.375         0.0       -415.14402503       -466.03239986
      0.9375      0.4375         0.0       -381.32917182        -462.5447487
      0.9375         0.5         0.0       -364.11338371       -459.39855645
      0.9375      0.5625         0.0       -358.98626806       -463.81050875
      0.9375       0.625         0.0       -397.21359664       -466.89571259
      0.9375      0.6875         0.0       -419.46570134       -467.00455354
      0.9375        0.75         0.0       -393.94725442       -463.92538685
      0.9375      0.8125         0.0       -365.87687744       -459.59205087
      0.9375       0.875         0.0       -360.59031295       -462.37449286
      0.9375      0.9375         0.0        -380.1647485       -466.20627633
      0.9375         1.0         0.0       -418.02969972       -467.34784518

         1.0         0.0         0.0       -421.03237127        -467.0483422
         1.0      0.0625         0.0       -406.06573477       -465.48427691
         1.0       0.125         0.0       -377.85260461       -461.52985227
         1.0      0.1875         0.0       -358.64258076       -461.43515088
         1.0        0.25         0.0       -373.21802103       -465.16916788
         1.0      0.3125         0.0       -416.07442226       -467.11835328
         1.0       0.375         0.0       -414.94374484       -466.36422952
         1.0      0.4375         0.0        -385.9207132       -462.41375066
         1.0         0.5         0.0       -365.05649712       -460.13470489
         1.0      0.5625         0.0       -358.98623192       -463.75665869
         1.0       0.625         0.0       -405.61624284       -466.83807814
         1.0      0.6875         0.0       -420.40994935        -466.8822079
         1.0        0.75         0.0       -395.72567083       -464.05170684
         1.0      0.8125         0.0       -371.28505252       -460.44809833
         1.0       0.875         0.0       -354.56964355       -462.14421576
         1.0      0.9375         0.0       -390.56973839       -466.20221499
         1.0         1.0         0.0       -421.03237127       -467.02000042

